NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Nick Dunlap,74,71.3,299.3,51.1,65.4,0.112,-1.27,255,2,0,2025,1170325,
David Skinns,75,70.3,308.3,58.6,68.6,-0.217,0.037,254,3,0,2025,783457,
Adam Hadwin,87,70.5,299.8,62.1,66.2,0.051,-0.654,254,1,0,2025,1079946,
Pierceson Coody,52,69,311.5,63.3,72.2,-0.126,0.841,248,2,0,2025,1171494,
Steven Fisk,81,69.8,311,60.9,71.7,-0.471,0.792,246,2,1,2025,1804525,
Will Gordon,62,70.6,312.6,58.1,69.4,-0.38,-0.216,235,2,0,2025,808904,
Lanto Griffin,71,70.4,300.1,61.5,66.9,0.095,-0.058,234,2,0,2025,1037926,
Noah Goodwin,71,70.1,300.1,66.8,68,0.082,-0.184,219,1,0,2025,796403,
Nate Lashley,53,70.1,299.4,60.1,67.3,-0.126,0,217,0,0,2025,559402,
Quade Cummins,80,70.2,305.7,57.8,66.2,0.234,-0.498,217,0,0,2025,556303,
Sahith Theegala,75,70.9,301.3,57,65.6,-0.18,-0.306,209,0,0,2025,977539,
Antoine Rozner,75,70.2,308.1,58.5,69.9,-0.318,0.207,207,0,0,2025,710529,
Thriston Lawrence,52,71.1,299.5,63,67.1,-0.312,0.016,206,1,0,2025,728082,
Brice Garnett,68,69.9,291.2,69.4,70.1,0.182,-0.25,199,0,0,2025,631678,
Matteo Manassero,52,70.2,286,60.1,65,0.012,-0.097,199,1,0,2025,617348,
Ben Kohles,84,69.7,295.2,73.1,72.9,-0.529,0.801,198,1,0,2025,658427,
Taylor Montgomery,66,69.7,302,51.4,63.6,0.917,-0.552,198,2,0,2025,824353,
Frankie Capan III,69,71.2,301.5,45.8,60.1,0.488,-1.896,191,3,0,2025,1108327,
Joseph Bramlett,46,70,316.4,55.9,69.6,-0.845,0.938,176,1,0,2025,489712,
Trey Mullinax,70,70,312.3,52.6,69.8,0.038,-0.112,176,0,0,2025,615755,
Luke List,74,70.7,309.8,63.2,67.2,-0.155,-0.138,175,2,0,2025,634020,
Will Chandler,75,71.6,300.3,61,63.4,-0.245,-1,165,1,0,2025,567658,
Greyson Sigg,77,69.9,295.2,65.4,70.3,-0.454,0.512,164,1,0,2025,777250,
Niklas Nørgaard,58,70.2,315.3,51.6,69.9,0.16,-0.026,162,1,0,2025,543656,
Adam Svensson,79,70.2,295.7,66,69.5,-0.579,0.24,158,0,0,2025,487188,
Ben Silverman,73,70.1,299.7,64.2,67.4,0.195,-0.419,157,1,0,2025,766836,
Camilo Villegas,71,70.7,290,53.2,64.2,0.085,-0.725,150,2,0,2025,733788,
Nick Hardy,63,70.4,310.8,58.3,70.6,-0.172,-0.02,145,1,0,2025,432097,
Matthieu Pavon,82,71.5,299.1,62.8,65.4,0.053,-1.03,144,0,0,2025,634425,
Thomas Rosenmueller,77,69.9,309,62.4,72.2,-0.611,0.374,144,0,0,2025,556197,
Taylor Dickson,67,71.4,300.4,61.5,63.6,-0.387,-1.001,135,1,0,2025,463642,
John Pak,75,70.5,290.4,67.7,67.2,-0.553,-0.085,121,1,0,2025,622055,
Zac Blair,61,69.9,287.1,68.1,67.9,-0.14,0.233,104,2,0,2025,663124,
Hayden Buckley,58,70.6,304.5,65.6,68,-0.513,-0.31,100,2,0,2025,379692,
Ben Martin,53,70,296.7,61.9,68.4,0.031,-0.134,99,1,0,2025,335350,
Cristobal Del Solar,67,71.2,304.5,51.7,63.8,0.107,-1.339,88,0,0,2025,250132,
Matthew Riedel,66,71.1,303.6,59.7,68.2,-0.094,-0.879,87,0,0,2025,287732,
Trevor Cone,69,70.3,315.4,59.8,70,-0.351,-0.004,83,1,0,2025,544059,
Peter Malnati,63,71.1,301.3,48.1,61.5,0.034,-1.022,80,0,0,2025,282493,
Patton Kizzire,66,70.2,298.5,60.7,66.6,-0.258,-0.058,72,0,0,2025,317724,
Rikuya Hoshino,52,70.1,296,62.2,64.7,-0.004,-0.324,68,1,0,2025,363756,
Kevin Velo,65,71.1,299.2,64.3,66.9,-0.531,-0.394,68,1,0,2025,290109,
Rafael Campos,79,71.7,305.2,55.9,62.9,-0.079,-1.196,63,0,0,2025,216757,
Braden Thornberry,61,71,302.2,53.7,63.8,0.38,-1.413,57,1,0,2025,301674,
Mason Andersen,65,70.9,295.8,58.7,64.2,-0.018,-1.196,43,0,0,2025,213335,
Kaito Onishi,60,71.2,298.2,59.9,63.1,0.077,-1.229,42,0,0,2025,145336,
Luke Clanton,58,69.9,312.6,59.1,70.6,-0.269,0.321,41,0,0,2025,251429,
